"Reference(s)","Value","Footprint","PRICE","SUPPLIER_URL"
"C1","2.2u","Capacitor_THT:C_Rect_L7.2mm_W5.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2","1.84","https://www.digikey.com.au/en/products/detail/kemet/R82CC4220Z370J/4833336"
"C2","2.2u","Capacitor_THT:C_Rect_L7.2mm_W5.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2","1.84","https://www.digikey.com.au/en/products/detail/kemet/R82CC4220Z370J/4833336"
"C3","1000u","w_capacitors:CP_10x20mm_horiz-L","1.25","https://www.digikey.com.au/en/products/detail/rubycon/25ZLS1000MEFC10X20/4977135"
"C4","100u","rubycon:25ZL100MEFCT16.3X11","0.49","https://www.digikey.com.au/en/products/detail/rubycon/25ZL100MEFCT16-3X11/3567835"
"C5","100u","rubycon:25ZL100MEFCT16.3X11","0.49","https://www.digikey.com.au/en/products/detail/rubycon/25ZL100MEFCT16-3X11/3567835"
"C6","470u","Capacitor_THT:CP_Radial_D10.0mm_P5.00mm","1.04","https://www.digikey.com.au/en/products/detail/rubycon/25ZLJ470M10X12-5/3134209"
"C7","470u","Capacitor_THT:CP_Radial_D10.0mm_P5.00mm","1.04","https://www.digikey.com.au/en/products/detail/rubycon/25ZLJ470M10X12-5/3134209"
"C8","47u","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","0.48","https://www.digikey.com.au/en/products/detail/rubycon/25ZLG47MEFC6-3X7/3563043"
"D1","LED_Dual_AAC","LED_THT:LED_D3.0mm-3","0.82","https://www.digikey.com.au/en/products/detail/kingbright/WP115VEGW/3084058"
"F1","3JS-2-R","fuses:3JS 1-R","0.67","https://www.digikey.com.au/en/products/detail/bel-fuse-inc/3JS-2-R/1010090"
"H1","MountingHole_Pad","MountingHole:MountingHole_3.2mm_M3_Pad_Via",,
"H2","MountingHole_Pad","MountingHole:MountingHole_3.2mm_M3_Pad_Via",,
"H3","MountingHole_Pad","MountingHole:MountingHole_3.2mm_M3_Pad_Via",,
"H4","MountingHole_Pad","MountingHole:MountingHole_3.2mm_M3_Pad_Via",,
"H5","MountingHole_Pad","MountingHole:MountingHole_3.2mm_M3_Pad_Via",,
"HS1","Heatsink","heatsink:heatsink_19x13mm","0.43","https://www.digikey.com.au/en/products/detail/aavid-thermal-division-of-boyd-corporation/577002B00000G/102507"
"HS2","Heatsink","heatsink:heatsink_19x13mm","0.43","https://www.digikey.com.au/en/products/detail/aavid-thermal-division-of-boyd-corporation/577002B00000G/102507"
"HS3","Heatsink","heatsink:heatsink_19x13mm","0.43","https://www.digikey.com.au/en/products/detail/aavid-thermal-division-of-boyd-corporation/577002B00000G/102507"
"HS4","Heatsink","heatsink:heatsink_19x13mm","0.43","https://www.digikey.com.au/en/products/detail/aavid-thermal-division-of-boyd-corporation/577002B00000G/102507"
"J1","RCJ-042","rca:CUI_RCJ-042","2.44","https://www.digikey.com.au/en/products/detail/cui-devices/RCJ-042/408506"
"J2","RCJ-043","rca:CUI_RCJ-043","2.44","https://www.digikey.com.au/en/products/detail/cui-devices/RCJ-043/408507"
"J3","SJ-435107","3:CUI_SJ-435107","0.98 USD","https://www.digikey.com.au/en/products/detail/cui-devices/SJ-435107/3064634"
"J4","Conn_01x02","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical",,
"J5","PJ-002AH","power:CUI_PJ-002AH","1.19","https://www.digikey.com.au/en/products/detail/cui-devices/PJ-002AH/408446"
"J6","Conn_01x04","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical",,
"J7","SJ-435107","3:CUI_SJ-435107","0.98 USD","https://www.digikey.com.au/en/products/detail/cui-devices/SJ-435107/3064634"
"K1","6-1462034-7","footprints:PC323-12L-X","1.90","https://www.digikey.com.au/en/products/detail/picker-components/PC323-12L-X/12352828"
"Q1","IRF610","Package_TO_SOT_THT:TO-220-3_Horizontal_TabDown","1.46","https://www.digikey.com.au/en/products/detail/vishay-siliconix/IRF610PBF-BE3/12396470"
"Q2","IRF610","Package_TO_SOT_THT:TO-220-3_Horizontal_TabDown","1.46","https://www.digikey.com.au/en/products/detail/vishay-siliconix/IRF610PBF-BE3/12396470"
